suburb,postcode,state,state_code
Ingleburn,2565,New South Wales,NSW
Minto,2566,New South Wales,NSW
Harrington Park,2567,New South Wales,NSW
Menangle,2568,New South Wales,NSW
Douglas Park,2569,New South Wales,NSW
Oran Park,2570,New South Wales,NSW
Buxton (NSW),2571,New South Wales,NSW
Thirlmere,2572,New South Wales,NSW
Tahmoor,2573,New South Wales,NSW
Bargo,2574,New South Wales,NSW
Willow Vale (Wingecarribee - NSW),2575,New South Wales,NSW
Bowral,2576,New South Wales,NSW
Robertson (NSW),2577,New South Wales,NSW
Bundanoon (NSW),2578,New South Wales,NSW
Wingello,2579,New South Wales,NSW
Carrick (NSW),2580,New South Wales,NSW
Breadalbane (NSW),2581,New South Wales,NSW
Murrumbateman,2582,New South Wales,NSW
Rugby,2583,New South Wales,NSW
Binalong,2584,New South Wales,NSW
Galong,2585,New South Wales,NSW
Boorowa,2586,New South Wales,NSW
Harden,2587,New South Wales,NSW
Wallendbeen,2588,New South Wales,NSW
Cootamundra,2590,New South Wales,NSW
Young,2594,New South Wales,NSW
Parkes (ACT),2600,Australian Capital Territory,ACT
City,2601,Australian Capital Territory,ACT
O'Connor (ACT),2602,Australian Capital Territory,ACT
Red Hill (ACT),2603,Australian Capital Territory,ACT
Kingston (ACT),2604,Australian Capital Territory,ACT
Garran,2605,Australian Capital Territory,ACT
Phillip,2606,Australian Capital Territory,ACT
Pearce,2607,Australian Capital Territory,ACT
ACT Remainder - Majura,2609,Australian Capital Territory,ACT
Brindabella,2611,New South Wales,NSW
Campbell,2612,Australian Capital Territory,ACT
Scullin,2614,Australian Capital Territory,ACT
Florey,2615,Australian Capital Territory,ACT
Evatt,2617,Australian Capital Territory,ACT
Springrange,2618,New South Wales,NSW
Jerrabomberra,2619,New South Wales,NSW
Oaks Estate,2620,Australian Capital Territory,ACT
Rossi,2621,New South Wales,NSW
Monga,2622,New South Wales,NSW
Captains Flat,2623,New South Wales,NSW
Burrungubugge,2624,New South Wales,NSW
Thredbo,2625,New South Wales,NSW
Bumbalong,2626,New South Wales,NSW
Jindabyne,2627,New South Wales,NSW
Braemar Bay,2628,New South Wales,NSW
Anglers Reach,2629,New South Wales,NSW
Cooma (NSW),2630,New South Wales,NSW
Nimmitabel,2631,New South Wales,NSW
Cathcart (NSW),2632,New South Wales,NSW
Delegate,2633,New South Wales,NSW
Thurgoona,2640,New South Wales,NSW
Lavington,2641,New South Wales,NSW
Jingellic,2642,New South Wales,NSW
Howlong,2643,New South Wales,NSW
Holbrook,2644,New South Wales,NSW
Urana,2645,New South Wales,NSW
Savernake,2646,New South Wales,NSW
Mulwala,2647,New South Wales,NSW
Scotia,2648,New South Wales,NSW
Nurenmerenmong,2649,New South Wales,NSW
Ashmont,2650,New South Wales,NSW
Forest Hill (NSW),2651,New South Wales,NSW
Matong,2652,New South Wales,NSW
Tumbarumba,2653,New South Wales,NSW
The Rock,2655,New South Wales,NSW
Lockhart,2656,New South Wales,NSW
Pleasant Hills,2658,New South Wales,NSW
Walla Walla,2659,New South Wales,NSW
Morven (Greater Hume Shire - NSW),2660,New South Wales,NSW
Kapooka,2661,New South Wales,NSW
Junee,2663,New South Wales,NSW
Ariah Park,2665,New South Wales,NSW
Grogan,2666,New South Wales,NSW
Barmedman,2668,New South Wales,NSW
Rankins Springs,2669,New South Wales,NSW
West Wyalong,2671,New South Wales,NSW
Lake Cargelligo,2672,New South Wales,NSW
Hillston,2675,New South Wales,NSW
Charles Sturt University,2678,New South Wales,NSW
Beelbangera,2680,New South Wales,NSW
Yenda (NSW),2681,New South Wales,NSW
Gillenbah,2700,New South Wales,NSW
Coolamon,2701,New South Wales,NSW
Ganmain,2702,New South Wales,NSW
Yanco,2703,New South Wales,NSW
Leeton,2705,New South Wales,NSW
Darlington Point,2706,New South Wales,NSW
Coleambally,2707,New South Wales,NSW
Deniliquin,2710,New South Wales,NSW
Hay (NSW),2711,New South Wales,NSW
Boomanoomana,2712,New South Wales,NSW
Finley,2713,New South Wales,NSW
Tocumwal,2714,New South Wales,NSW
Balranald,2715,New South Wales,NSW
Jerilderie,2716,New South Wales,NSW
Dareton,2717,New South Wales,NSW
Tumut,2720,New South Wales,NSW
Bland,2721,New South Wales,NSW
South Gundagai,2722,New South Wales,NSW
Stockinbingal,2725,New South Wales,NSW
Jugiong,2726,New South Wales,NSW
Adjungbilly,2727,New South Wales,NSW
Ellerslie (Snowy Valleys - NSW),2729,New South Wales,NSW
Batlow,2730,New South Wales,NSW
Moama,2731,New South Wales,NSW
Gonn,2732,New South Wales,NSW
Niemur,2733,New South Wales,NSW
Moolpa,2734,New South Wales,NSW
Koraleigh,2735,New South Wales,NSW
Tooleybuc,2736,New South Wales,NSW
Euston,2737,New South Wales,NSW
Gol Gol,2738,New South Wales,NSW
Buronga,2739,New South Wales,NSW
Glenmore Park,2745,New South Wales,NSW
Werrington County,2747,New South Wales,NSW
Orchard Hills,2748,New South Wales,NSW
Cranebrook,2749,New South Wales,NSW
Emu Plains,2750,New South Wales,NSW
Silverdale (NSW),2752,New South Wales,NSW
Grose Vale,2753,New South Wales,NSW
North Richmond,2754,New South Wales,NSW
Windsor (NSW),2756,New South Wales,NSW
Kurmond,2757,New South Wales,NSW
Kurrajong,2758,New South Wales,NSW
St Clair (Penrith - NSW),2759,New South Wales,NSW
Colyton,2760,New South Wales,NSW
Plumpton (NSW),2761,New South Wales,NSW
Tallawong,2762,New South Wales,NSW
Quakers Hill,2763,New South Wales,NSW
Riverstone,2765,New South Wales,NSW
Rooty Hill,2766,New South Wales,NSW
Doonside,2767,New South Wales,NSW
Glenwood (NSW),2768,New South Wales,NSW
